,SKU_NAME,FEED_DATE,CATEGORY,SUB_CATEGORY,ORDERED_REVENUE,ORDERED_UNITS,REP_OOS
0,B12020KBUI,2019-05-18,1000 Inputs,1002 Mice,0.0,0.0,0.0
1,B12020KBUI,2019-05-19,1000 Inputs,1002 Mice,0.0,0.0,0.0
2,B12020KBUI,2019-05-22,1000 Inputs,1002 Mice,0.0,0.0,0.0
3,B12020KBUI,2019-05-23,1000 Inputs,1002 Mice,0.0,0.0,0.0
4,B12020KBUI,2019-05-27,1000 Inputs,1002 Mice,0.0,0.0,0.0
5,B12020KBUI,2019-05-28,1000 Inputs,1002 Mice,0.0,0.0,0.0
6,D12125XVGK,2019-08-17,1000 Inputs,1002 Mice,49.95,1.0,0.0
7,D12125XVGK,2019-08-18,1000 Inputs,1002 Mice,0.0,0.0,0.0
8,D12125XVGK,2019-08-21,1000 Inputs,1002 Mice,0.0,0.0,0.0
9,D12125XVGK,2019-08-22,1000 Inputs,1002 Mice,0.0,0.0,0.0
10,C02228YPPT,2019-06-24,1000 Inputs,1004 Computer Headsets and Mics,8.5,1.0,0.0
11,C02228YPPT,2019-06-25,1000 Inputs,1004 Computer Headsets and Mics,0.0,0.0,0.0
12,B1212:PZ:V,2019-05-01,1000 Inputs,1006 Gamepads and Controllers,525.84,16.0,8.13
13,B1212:PZ:V,2019-05-02,1000 Inputs,1006 Gamepads and Controllers,395.88,12.0,0.21
14,B1212:PZ:V,2019-05-03,1000 Inputs,1006 Gamepads and Controllers,1385.58,42.0,8.22
15,B1212:PZ:V,2019-05-04,1000 Inputs,1006 Gamepads and Controllers,2341.3,70.0,12.08
16,B1212:PZ:V,2019-05-05,1000 Inputs,1006 Gamepads and Controllers,1104.07,33.0,14.08
17,B1212:PZ:V,2019-05-06,1000 Inputs,1006 Gamepads and Controllers,1644.53,47.0,12.37
18,B1212:PZ:V,2019-05-07,1000 Inputs,1006 Gamepads and Controllers,1224.65,35.0,11.68
19,B1212:PZ:V,2019-05-08,1000 Inputs,1006 Gamepads and Controllers,1294.63,37.0,15.35
20,B1212:PZ:V,2019-05-09,1000 Inputs,1006 Gamepads and Controllers,769.78,22.0,12.77
21,B1212:PZ:V,2019-05-10,1000 Inputs,1006 Gamepads and Controllers,1609.54,46.0,16.09
22,B1212:PZ:V,2019-05-11,1000 Inputs,1006 Gamepads and Controllers,1294.63,37.0,16.19
23,B1212:PZ:V,2019-05-12,1000 Inputs,1006 Gamepads and Controllers,1119.68,32.0,12.47
24,B1212:PZ:V,2019-05-13,1000 Inputs,1006 Gamepads and Controllers,1994.27,57.0,10.69
25,B1212:PZ:V,2019-05-14,1000 Inputs,1006 Gamepads and Controllers,1082.86,31.0,16.84
26,B1212:PZ:V,2019-05-15,1000 Inputs,1006 Gamepads and Controllers,1192.65,35.0,8.47
27,B1212:PZ:V,2019-05-16,1000 Inputs,1006 Gamepads and Controllers,1223.64,36.0,14.6
28,B1212:PZ:V,2019-05-17,1000 Inputs,1006 Gamepads and Controllers,1047.48,32.0,14.42
29,B1212:PZ:V,2019-05-18,1000 Inputs,1006 Gamepads and Controllers,984.27,30.0,13.41
